# Cycle: 0, status: ACC, move: ('ki', 0, 0, 0)
#     Time      Potential        Kinetic
         8      -1.161568      12.639520
         9      -1.788611      13.361539
        10      -4.887299      16.455067
        11     -12.088533      23.522020
        12     -13.634377      25.046432
        13     -10.974529      22.449076
        14      -7.047633      18.457999
        15      -5.298343      16.581774
        16      -0.920392      12.273506
        17       0.519627      10.846967
        18      -1.503712      12.788613
        19      -1.943563      13.255727
        20      -2.949027      14.355527
        21      -5.418726      16.801610
        22      -6.552368      17.921258
        23      -3.308702      14.796700
        24      -0.006986      11.552448
        25       2.842250       8.661937
        26       5.723689       5.865064
        27       6.346135       5.322885
        28       1.964966       9.652592
        29      -2.819427      14.422178
        30      -3.013019      14.714846
        31      -4.974604      16.655466
        32      -6.846640      18.422010
        33      -4.031678      15.638924
        34      -5.680843      17.296385
        35      -9.606892      21.084485
        36     -14.319625      25.758582
        37     -17.077818      28.541728
# Cycle: 19, status: NCR, move: ('s-', 0.3218951906938009, 21, 13)
#     Time      Potential        Kinetic
         0       0.123124      11.337298
         1      -4.942398      16.329892
         2      -7.102572      18.578684
         3      -8.059538      19.615393
         4      -8.105369      19.589779
         5      -4.364882      15.869182
         6      -0.253147      11.869328
         7       0.855180      10.722149
         8      -1.161568      12.639520
         9      -1.788611      13.361539
        10      -4.887299      16.455067
        11     -12.088533      23.522020
        12     -13.634377      25.046432
        13     -10.974529      22.449076
        14      -7.047633      18.457999
        15      -5.298343      16.581774
        16      -0.920392      12.273506
        17       0.519627      10.846967
        18      -1.503712      12.788613
        19      -1.943563      13.255727
        20      -2.949027      14.355527
        21      -5.418726      16.801610
        22      -6.552368      17.921258
        23      -3.308702      14.796700
        24      -0.006986      11.552448
        25       2.842250       8.661937
        26       5.723689       5.865064
        27       6.346135       5.322885
        28       1.964966       9.652592
        29      -2.819427      14.422178
        30      -3.013019      14.714846
        31      -4.974604      16.655466
        32      -6.846640      18.422010
        33      -4.031678      15.638924
        34      -5.680843      17.296385
        35      -9.606892      21.084485
        36     -14.319625      25.758582
        37     -17.077818      28.541728
# Cycle: 20, status: NCR, move: ('s-', 0.3218951906938009, 21, 13)
#     Time      Potential        Kinetic
         0       0.123124      11.337298
         1      -4.942398      16.329892
         2      -7.102572      18.578684
         3      -8.059538      19.615393
         4      -8.105369      19.589779
         5      -4.364882      15.869182
         6      -0.253147      11.869328
         7       0.855180      10.722149
         8      -1.161568      12.639520
         9      -1.788611      13.361539
        10      -4.887299      16.455067
        11     -12.088533      23.522020
        12     -13.634377      25.046432
        13     -10.974529      22.449076
        14      -7.047633      18.457999
        15      -5.298343      16.581774
        16      -0.920392      12.273506
        17       0.519627      10.846967
        18      -1.503712      12.788613
        19      -1.943563      13.255727
        20      -2.949027      14.355527
        21      -5.418726      16.801610
        22      -6.552368      17.921258
        23      -3.308702      14.796700
        24      -0.006986      11.552448
        25       2.842250       8.661937
        26       5.723689       5.865064
        27       6.346135       5.322885
        28       1.964966       9.652592
        29      -2.819427      14.422178
        30      -3.013019      14.714846
        31      -4.974604      16.655466
        32      -6.846640      18.422010
        33      -4.031678      15.638924
        34      -5.680843      17.296385
        35      -9.606892      21.084485
        36     -14.319625      25.758582
        37     -17.077818      28.541728
# Cycle: 21, status: ACC, move: ('sh', 0.3658460049925382, 14, 42)
#     Time      Potential        Kinetic
         0      -7.422145      24.431113
         1     -13.583688      30.279197
         2      -8.539688      25.468808
         3       1.206205      16.205185
         4      -3.886936      21.030611
         5      -6.973280      23.948434
         6       3.604546      13.866860
         7       4.798751      12.711663
         8      -2.363571      19.511270
         9       3.186624      14.206730
        10       7.879472       9.688387
        11      -2.053828      19.095627
        12      -3.356307      20.272599
        13       5.839512      11.464933
        14       1.686377      15.371400
        15      -5.724959      22.373425
        16       1.098587      15.842759
        17       3.240754      13.769375
        18      -6.394932      22.910352
        19      -4.044183      20.645500
        20       4.295799      12.707817
        21      -1.073006      17.794757
        22      -5.164813      21.705896
        23       4.932988      12.098173
        24       5.683678      11.391562
        25      -2.418841      19.099236
        26       2.807515      14.138847
        27      10.060228       7.224391
        28       1.955357      14.958368
        29       0.477196      16.365940
        30       9.769647       7.516483
        31       6.087238      11.012777
        32      -2.143393      18.820951
        33       4.665043      12.310090
        34       7.720037       9.394693
        35      -1.815793      18.454558
        36      -1.045091      17.721639
        37       6.907818      10.156971
        38      -0.012434      16.767224
        39      -5.972925      22.463503
        40       2.843805      14.113011
        41       3.031351      14.010339
        42      -5.782129      22.449076
        43      -1.201002      18.151909
        44       5.575755      11.788654
        45      -1.665888      18.722616
        46      -3.553500      20.557309
        47       4.687132      12.809293
        48       2.716698      14.683130
        49      -6.821931      23.865433
        50       0.097694      17.321034
        51       3.597386      14.038795
        52      -6.517217      23.663541
        53      -8.003244      25.073444
        54      -1.598916      18.949868
        55      -9.267503      26.255866
# Cycle: 22, status: NCR, move: ('s+', 0.39686910119742946, 21, 54)
#     Time      Potential        Kinetic
         0      -8.430660      30.326494
         1      -7.201071      29.100736
         2      -3.235970      25.320783
         3      -7.727287      29.508125
         4     -10.809936      32.416111
         5      -3.970070      25.876546
         6      -4.180689      26.053950
         7     -10.987906      32.541230
         8      -8.850283      30.527415
         9      -4.942203      26.806895
        10     -10.661475      32.294274
        11     -11.207992      32.868684
        12      -1.897499      23.932163
        13      -5.020207      26.976417
        14      -7.807383      29.561040
        15      -1.877043      23.910272
        16       1.886988      20.306065
        17      -3.409262      25.382374
        18       0.195363      21.920152
        19       5.991833      16.413378
        20       1.409022      20.756746
        21      -1.364280      23.382429
        22       6.160180      16.167954
        23       5.637831      16.657845
        24       0.886751      21.133556
        25       4.880266      17.304464
        26       7.139240      15.103882
        27      -0.386908      22.257622
        28       0.226794      21.655903
        29       6.617998      15.546289
        30       2.492352      19.457097
        31      -0.339706      22.096839
        32       5.481484      16.515048
        33       4.810895      17.108827
        34      -1.782281      23.388195
        35       2.631905      19.192800
        36       5.927777      16.131533
        37       0.348696      21.435770
        38      -2.211180      23.935641
