# Cycle: 0, status: ACC, move: ('ki', 0, 0, 0)
#     Time       Orderp
# Cycle: 30, status: ACC, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.299200
         1     0.300613
         2     0.302670
         3     0.303883
         4     0.304196
         5     0.304933
         6     0.303781
         7     0.302480
         8     0.301467
         9     0.299426
# Cycle: 31, status: BTL, move: ('sh', 0.3049325969680515, 5, 0)
#     Time       Orderp
         0     0.304933
         1     0.310100
         2     0.315302
         3     0.320165
         4     0.323996
         5     0.327630
         6     0.331500
         7     0.333682
         8     0.337768
         9     0.340835
        10     0.344294
        11     0.348566
        12     0.353242
        13     0.356256
        14     0.361181
        15     0.364124
        16     0.366789
# Cycle: 32, status: NCR, move: ('s+', 0.36511934192118733, 70, 24)
#     Time       Orderp
         0     0.296152
         1     0.301990
         2     0.307626
         3     0.311831
         4     0.316329
         5     0.319492
         6     0.322571
         7     0.325331
         8     0.328167
         9     0.330940
        10     0.333802
        11     0.337242
        12     0.340127
        13     0.343731
        14     0.346912
        15     0.350006
        16     0.352900
        17     0.355760
        18     0.357517
        19     0.360278
        20     0.361271
        21     0.363131
        22     0.364085
        23     0.364945
        24     0.365119
        25     0.365980
        26     0.364778
        27     0.365025
        28     0.363815
        29     0.362618
        30     0.361412
        31     0.359862
        32     0.357843
        33     0.355946
        34     0.353679
        35     0.350741
        36     0.348640
        37     0.345177
        38     0.342781
        39     0.339453
        40     0.336577
        41     0.332947
        42     0.329926
        43     0.325082
        44     0.321472
        45     0.315708
        46     0.310281
        47     0.304035
        48     0.297390
# Cycle: 33, status: ACC, move: ('sh', 0.3049325969680515, 5, 11)
#     Time       Orderp
         0     0.298312
         1     0.300053
         2     0.301438
         3     0.301574
         4     0.300711
         5     0.301843
         6     0.301458
         7     0.302426
         8     0.304225
         9     0.304478
        10     0.305039
        11     0.304933
        12     0.302905
        13     0.301863
        14     0.299823
# Cycle: 34, status: ACC, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.297574
         1     0.303686
         2     0.308748
         3     0.313888
         4     0.317622
         5     0.321469
         6     0.323717
         7     0.326453
         8     0.327840
         9     0.328956
        10     0.330040
        11     0.330762
        12     0.330683
        13     0.331956
        14     0.332028
        15     0.332115
        16     0.332945
        17     0.332386
        18     0.331698
        19     0.331281
        20     0.329122
        21     0.327467
        22     0.324971
        23     0.321969
        24     0.318775
        25     0.315564
        26     0.311880
        27     0.308829
        28     0.305718
        29     0.303083
        30     0.300789
        31     0.298895
# Cycle: 35, status: ACC, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.298312
         1     0.300053
         2     0.301438
         3     0.301574
         4     0.300711
         5     0.301843
         6     0.301458
         7     0.302426
         8     0.304225
         9     0.304478
        10     0.305039
        11     0.304933
        12     0.302905
        13     0.301863
        14     0.299823
# Cycle: 36, status: ACC, move: ('sh', 0.3014575343181284, 6, 2)
#     Time       Orderp
         0     0.297998
         1     0.300241
         2     0.301458
         3     0.303919
         4     0.306137
         5     0.307724
         6     0.309812
         7     0.311690
         8     0.313251
         9     0.315229
        10     0.315918
        11     0.316579
        12     0.316566
        13     0.315285
        14     0.313838
        15     0.311547
        16     0.308738
        17     0.305658
        18     0.302071
        19     0.299750
# Cycle: 37, status: NCR, move: ('s+', 0.36338037204268475, 30, 21)
#     Time       Orderp
         0     0.298901
         1     0.304230
         2     0.310391
         3     0.315136
         4     0.319717
         5     0.324644
         6     0.328293
         7     0.332145
         8     0.336158
         9     0.338997
        10     0.342053
        11     0.345684
        12     0.347032
        13     0.350499
        14     0.352413
        15     0.354067
        16     0.356473
        17     0.358300
        18     0.359135
        19     0.361707
        20     0.362537
        21     0.363380
        22     0.365482
        23     0.365182
        24     0.366281
        25     0.366452
        26     0.366273
        27     0.365379
        28     0.365526
        29     0.363008
        30     0.362830
        31     0.360231
        32     0.358970
        33     0.356434
        34     0.355145
        35     0.351999
        36     0.351262
        37     0.348264
        38     0.347144
        39     0.345032
        40     0.343264
        41     0.340545
        42     0.338587
        43     0.334250
        44     0.330691
        45     0.326417
        46     0.320732
        47     0.316537
        48     0.311143
