# Cycle: 0, status: ACC, move: ('ki', 0, 0, 0)
#     Time       Orderp
         0     0.393131
         1     0.395416
         2     0.396234
         3     0.398489
         4     0.399356
         5     0.401076
         6     0.402526
         7     0.404007
         8     0.405459
         9     0.407321
        10     0.408586
        11     0.410084
        12     0.411840
        13     0.412474
        14     0.414079
        15     0.414722
        16     0.415633
        17     0.416017
        18     0.417159
        19     0.416740
        20     0.417949
        21     0.417525
        22     0.417904
        23     0.417649
        24     0.417615
        25     0.416813
        26     0.416850
        27     0.415771
        28     0.415486
        29     0.414961
        30     0.414286
        31     0.414297
        32     0.413922
        33     0.413834
        34     0.413877
        35     0.414042
        36     0.413473
        37     0.414022
        38     0.413023
        39     0.412572
        40     0.411458
        41     0.410185
        42     0.408157
        43     0.406978
        44     0.404474
        45     0.403430
        46     0.401359
        47     0.400283
        48     0.398957
        49     0.398189
        50     0.396780
        51     0.396566
        52     0.395009
        53     0.393831
        54     0.392533
        55     0.390184
        56     0.388154
# Cycle: 17, status: NCR, move: ('sh', 0.3783697725145068, 14, 32)
#     Time       Orderp
         0     0.299138
         1     0.302191
         2     0.305519
         3     0.309586
         4     0.314148
         5     0.319224
         6     0.323711
         7     0.328473
         8     0.331916
         9     0.335207
        10     0.337420
        11     0.340209
        12     0.341921
        13     0.344559
        14     0.346744
        15     0.349628
        16     0.352103
        17     0.355546
        18     0.357996
        19     0.360667
        20     0.363009
        21     0.364451
        22     0.366211
        23     0.367730
        24     0.369033
        25     0.370822
        26     0.372387
        27     0.374092
        28     0.375481
        29     0.376948
        30     0.377591
        31     0.378607
        32     0.378370
        33     0.379271
        34     0.378363
        35     0.378867
        36     0.377898
        37     0.377441
        38     0.376146
        39     0.374975
        40     0.372862
        41     0.371156
        42     0.368753
        43     0.366643
        44     0.364989
        45     0.363040
        46     0.362175
        47     0.360948
        48     0.360417
        49     0.359216
        50     0.358483
        51     0.356617
        52     0.354276
        53     0.351197
        54     0.347282
        55     0.343206
        56     0.338926
        57     0.335895
        58     0.332353
        59     0.330437
        60     0.327760
        61     0.325426
        62     0.322175
        63     0.318307
        64     0.313749
        65     0.308657
        66     0.302499
        67     0.296159
# Cycle: 18, status: NCR, move: ('s-', 0.38785557773310886, 14, 81)
#     Time       Orderp
         0     0.296536
         1     0.303280
         2     0.309515
         3     0.316684
         4     0.323439
         5     0.330811
         6     0.337545
         7     0.344319
         8     0.350618
         9     0.356430
        10     0.361427
        11     0.366537
        12     0.370557
        13     0.374321
        14     0.377910
        15     0.380779
        16     0.383701
        17     0.386067
        18     0.389207
        19     0.391065
        20     0.394493
        21     0.396869
        22     0.400197
        23     0.402850
        24     0.406559
        25     0.408960
        26     0.412635
        27     0.414977
        28     0.418115
        29     0.420257
        30     0.422539
        31     0.424371
        32     0.425845
        33     0.426891
        34     0.427931
        35     0.428497
        36     0.428684
        37     0.429352
        38     0.429156
        39     0.429471
        40     0.429401
        41     0.429740
        42     0.429223
        43     0.429705
        44     0.429189
        45     0.428991
        46     0.428917
        47     0.428472
        48     0.428188
        49     0.428060
        50     0.427812
        51     0.427295
        52     0.427752
        53     0.426817
        54     0.427401
        55     0.426862
        56     0.427135
        57     0.426678
        58     0.427272
        59     0.426177
        60     0.427055
        61     0.425915
        62     0.426238
        63     0.425571
        64     0.425470
        65     0.424738
        66     0.424572
        67     0.423509
        68     0.423030
        69     0.421685
        70     0.420391
        71     0.418916
        72     0.416658
        73     0.414543
        74     0.411963
        75     0.408935
        76     0.405748
        77     0.402605
        78     0.398721
        79     0.395199
        80     0.391673
        81     0.387856
        82     0.384426
        83     0.381253
        84     0.377870
        85     0.374652
        86     0.371686
        87     0.367873
        88     0.364651
        89     0.359932
        90     0.356066
        91     0.350319
        92     0.345029
        93     0.338511
        94     0.331928
        95     0.324129
        96     0.317057
        97     0.308886
        98     0.301655
        99     0.294181
# Cycle: 19, status: NCR, move: ('s-', 0.38785557773310886, 14, 81)
#     Time       Orderp
         0     0.296536
         1     0.303280
         2     0.309515
         3     0.316684
         4     0.323439
         5     0.330811
         6     0.337545
         7     0.344319
         8     0.350618
         9     0.356430
        10     0.361427
        11     0.366537
        12     0.370557
        13     0.374321
        14     0.377910
        15     0.380779
        16     0.383701
        17     0.386067
        18     0.389207
        19     0.391065
        20     0.394493
        21     0.396869
        22     0.400197
        23     0.402850
        24     0.406559
        25     0.408960
        26     0.412635
        27     0.414977
        28     0.418115
        29     0.420257
        30     0.422539
        31     0.424371
        32     0.425845
        33     0.426891
        34     0.427931
        35     0.428497
        36     0.428684
        37     0.429352
        38     0.429156
        39     0.429471
        40     0.429401
        41     0.429740
        42     0.429223
        43     0.429705
        44     0.429189
        45     0.428991
        46     0.428917
        47     0.428472
        48     0.428188
        49     0.428060
        50     0.427812
        51     0.427295
        52     0.427752
        53     0.426817
        54     0.427401
        55     0.426862
        56     0.427135
        57     0.426678
        58     0.427272
        59     0.426177
        60     0.427055
        61     0.425915
        62     0.426238
        63     0.425571
        64     0.425470
        65     0.424738
        66     0.424572
        67     0.423509
        68     0.423030
        69     0.421685
        70     0.420391
        71     0.418916
        72     0.416658
        73     0.414543
        74     0.411963
        75     0.408935
        76     0.405748
        77     0.402605
        78     0.398721
        79     0.395199
        80     0.391673
        81     0.387856
        82     0.384426
        83     0.381253
        84     0.377870
        85     0.374652
        86     0.371686
        87     0.367873
        88     0.364651
        89     0.359932
        90     0.356066
        91     0.350319
        92     0.345029
        93     0.338511
        94     0.331928
        95     0.324129
        96     0.317057
        97     0.308886
        98     0.301655
        99     0.294181
# Cycle: 20, status: NCR, move: ('s-', 0.38785557773310886, 14, 81)
#     Time       Orderp
         0     0.296536
         1     0.303280
         2     0.309515
         3     0.316684
         4     0.323439
         5     0.330811
         6     0.337545
         7     0.344319
         8     0.350618
         9     0.356430
        10     0.361427
        11     0.366537
        12     0.370557
        13     0.374321
        14     0.377910
        15     0.380779
        16     0.383701
        17     0.386067
        18     0.389207
        19     0.391065
        20     0.394493
        21     0.396869
        22     0.400197
        23     0.402850
        24     0.406559
        25     0.408960
        26     0.412635
        27     0.414977
        28     0.418115
        29     0.420257
        30     0.422539
        31     0.424371
        32     0.425845
        33     0.426891
        34     0.427931
        35     0.428497
        36     0.428684
        37     0.429352
        38     0.429156
        39     0.429471
        40     0.429401
        41     0.429740
        42     0.429223
        43     0.429705
        44     0.429189
        45     0.428991
        46     0.428917
        47     0.428472
        48     0.428188
        49     0.428060
        50     0.427812
        51     0.427295
        52     0.427752
        53     0.426817
        54     0.427401
        55     0.426862
        56     0.427135
        57     0.426678
        58     0.427272
        59     0.426177
        60     0.427055
        61     0.425915
        62     0.426238
        63     0.425571
        64     0.425470
        65     0.424738
        66     0.424572
        67     0.423509
        68     0.423030
        69     0.421685
        70     0.420391
        71     0.418916
        72     0.416658
        73     0.414543
        74     0.411963
        75     0.408935
        76     0.405748
        77     0.402605
        78     0.398721
        79     0.395199
        80     0.391673
        81     0.387856
        82     0.384426
        83     0.381253
        84     0.377870
        85     0.374652
        86     0.371686
        87     0.367873
        88     0.364651
        89     0.359932
        90     0.356066
        91     0.350319
        92     0.345029
        93     0.338511
        94     0.331928
        95     0.324129
        96     0.317057
        97     0.308886
        98     0.301655
        99     0.294181
# Cycle: 21, status: NCR, move: ('sh', 0.40226718310910686, 21, 41)
#     Time       Orderp
         0     0.293397
         1     0.300174
         2     0.305968
         3     0.312855
         4     0.318946
         5     0.325345
         6     0.330892
         7     0.336294
         8     0.341009
         9     0.344794
        10     0.348411
        11     0.351342
        12     0.354146
        13     0.356663
        14     0.359641
        15     0.362035
        16     0.365256
        17     0.367908
        18     0.371084
        19     0.373815
        20     0.376816
        21     0.379278
        22     0.382053
        23     0.384255
        24     0.386364
        25     0.388499
        26     0.389536
        27     0.390943
        28     0.391042
        29     0.391539
        30     0.391021
        31     0.391444
        32     0.391254
        33     0.392017
        34     0.392519
        35     0.394106
        36     0.395093
        37     0.397259
        38     0.398691
        39     0.400632
        40     0.401562
        41     0.402267
        42     0.402008
        43     0.401208
        44     0.400127
        45     0.398954
        46     0.398079
        47     0.397256
        48     0.396994
        49     0.397042
        50     0.397156
        51     0.397580
        52     0.397682
        53     0.397710
        54     0.396960
        55     0.396363
        56     0.394762
        57     0.393729
        58     0.391593
        59     0.390100
        60     0.387629
        61     0.385600
        62     0.382793
        63     0.380747
        64     0.377855
        65     0.375900
        66     0.373839
        67     0.371788
        68     0.370608
        69     0.369307
        70     0.368416
        71     0.368121
        72     0.368146
        73     0.368280
        74     0.369429
        75     0.370370
        76     0.371655
        77     0.372836
        78     0.373401
        79     0.372963
        80     0.371724
        81     0.369634
        82     0.367371
        83     0.365040
        84     0.362898
        85     0.361116
        86     0.359693
        87     0.358377
        88     0.357644
        89     0.356897
        90     0.356196
        91     0.355687
        92     0.354988
        93     0.354173
        94     0.353208
        95     0.352072
        96     0.350153
        97     0.348265
        98     0.345548
        99     0.342942
       100     0.339533
       101     0.336739
       102     0.332685
       103     0.329467
       104     0.324438
       105     0.320165
       106     0.314346
       107     0.309696
       108     0.304642
       109     0.300920
       110     0.296902
# Cycle: 22, status: ACC, move: ('00', 0.42127168567600876, 24, 26)
#     Time       Orderp
         0     0.296847
         1     0.303219
         2     0.309532
         3     0.315205
         4     0.321511
         5     0.327343
         6     0.333626
         7     0.339692
         8     0.346154
         9     0.352256
        10     0.358436
        11     0.364214
        12     0.369195
        13     0.374672
        14     0.378370
        15     0.383193
        16     0.386457
        17     0.390393
        18     0.393131
        19     0.396516
        20     0.398935
        21     0.402267
        22     0.405115
        23     0.409190
        24     0.413004
        25     0.417169
        26     0.421272
        27     0.425079
        28     0.428832
        29     0.431455
        30     0.434798
        31     0.436299
        32     0.438168
        33     0.438925
        34     0.439944
        35     0.440394
        36     0.441305
        37     0.442901
        38     0.444522
        39     0.446922
        40     0.450397
        41     0.453819
        42     0.458038
        43     0.462884
        44     0.467534
        45     0.472564
        46     0.477014
        47     0.482201
        48     0.485710
        49     0.490134
        50     0.493690
        51     0.497118
        52     0.499956
        53     0.503712
# Cycle: 23, status: ACC, move: ('sh', 0.4999558123551619, 52, 38)
#     Time       Orderp
         0     0.296072
         1     0.306020
         2     0.315011
         3     0.324129
         4     0.331727
         5     0.339072
         6     0.345397
         7     0.351913
         8     0.357583
         9     0.363800
        10     0.369863
        11     0.376765
        12     0.383141
        13     0.390157
        14     0.396911
        15     0.403455
        16     0.409290
        17     0.415046
        18     0.420619
        19     0.424364
        20     0.429416
        21     0.432769
        22     0.435925
        23     0.439403
        24     0.442135
        25     0.445488
        26     0.448591
        27     0.452852
        28     0.456750
        29     0.461864
        30     0.466301
        31     0.471790
        32     0.476645
        33     0.480950
        34     0.485825
        35     0.489959
        36     0.492823
        37     0.497578
        38     0.499956
        39     0.503322
# Cycle: 24, status: NCR, move: ('s-', 0.3508431404304644, 70, 76)
#     Time       Orderp
         0     0.299948
         1     0.305004
         2     0.310577
         3     0.315347
         4     0.320839
         5     0.325459
         6     0.330379
         7     0.334622
         8     0.339973
         9     0.343949
        10     0.349227
        11     0.353764
        12     0.357733
        13     0.362071
        14     0.365836
        15     0.368161
        16     0.371627
        17     0.373259
        18     0.374985
        19     0.376610
        20     0.377914
        21     0.378730
        22     0.380958
        23     0.381533
        24     0.383991
        25     0.385705
        26     0.387526
        27     0.389934
        28     0.392026
        29     0.393635
        30     0.395656
        31     0.397411
        32     0.397386
        33     0.399324
        34     0.398634
        35     0.399067
        36     0.398848
        37     0.399092
        38     0.398399
        39     0.399646
        40     0.398881
        41     0.400163
        42     0.400606
        43     0.401014
        44     0.401930
        45     0.402603
        46     0.402377
        47     0.402736
        48     0.402810
        49     0.401244
        50     0.401382
        51     0.399566
        52     0.398055
        53     0.396154
        54     0.394136
        55     0.391297
        56     0.389179
        57     0.386330
        58     0.384411
        59     0.381418
        60     0.380173
        61     0.377673
        62     0.376209
        63     0.374789
        64     0.373580
        65     0.372335
        66     0.371805
        67     0.370742
        68     0.369963
        69     0.368885
        70     0.367518
        71     0.366018
        72     0.363403
        73     0.361492
        74     0.358095
        75     0.354549
        76     0.350843
        77     0.346259
        78     0.341341
        79     0.336406
        80     0.331813
        81     0.326317
        82     0.322032
        83     0.317643
        84     0.312584
        85     0.307776
        86     0.303219
        87     0.296349
# Cycle: 25, status: NCR, move: ('s-', 0.3508431404304644, 70, 76)
#     Time       Orderp
         0     0.299948
         1     0.305004
         2     0.310577
         3     0.315347
         4     0.320839
         5     0.325459
         6     0.330379
         7     0.334622
         8     0.339973
         9     0.343949
        10     0.349227
        11     0.353764
        12     0.357733
        13     0.362071
        14     0.365836
        15     0.368161
        16     0.371627
        17     0.373259
        18     0.374985
        19     0.376610
        20     0.377914
        21     0.378730
        22     0.380958
        23     0.381533
        24     0.383991
        25     0.385705
        26     0.387526
        27     0.389934
        28     0.392026
        29     0.393635
        30     0.395656
        31     0.397411
        32     0.397386
        33     0.399324
        34     0.398634
        35     0.399067
        36     0.398848
        37     0.399092
        38     0.398399
        39     0.399646
        40     0.398881
        41     0.400163
        42     0.400606
        43     0.401014
        44     0.401930
        45     0.402603
        46     0.402377
        47     0.402736
        48     0.402810
        49     0.401244
        50     0.401382
        51     0.399566
        52     0.398055
        53     0.396154
        54     0.394136
        55     0.391297
        56     0.389179
        57     0.386330
        58     0.384411
        59     0.381418
        60     0.380173
        61     0.377673
        62     0.376209
        63     0.374789
        64     0.373580
        65     0.372335
        66     0.371805
        67     0.370742
        68     0.369963
        69     0.368885
        70     0.367518
        71     0.366018
        72     0.363403
        73     0.361492
        74     0.358095
        75     0.354549
        76     0.350843
        77     0.346259
        78     0.341341
        79     0.336406
        80     0.331813
        81     0.326317
        82     0.322032
        83     0.317643
        84     0.312584
        85     0.307776
        86     0.303219
        87     0.296349
# Cycle: 26, status: BWI, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.503322
         1     0.499956
         2     0.497578
         3     0.492823
         4     0.489959
         5     0.485825
         6     0.480950
         7     0.476645
         8     0.471790
         9     0.466301
        10     0.461864
        11     0.456750
        12     0.452852
        13     0.448591
        14     0.445488
        15     0.442135
        16     0.439403
        17     0.435925
        18     0.432769
        19     0.429416
        20     0.424364
        21     0.420619
        22     0.415046
        23     0.409290
        24     0.403455
        25     0.396911
        26     0.390157
        27     0.383141
        28     0.376765
        29     0.369863
        30     0.363800
        31     0.357583
        32     0.351913
        33     0.345397
        34     0.339072
        35     0.331727
        36     0.324129
        37     0.315011
        38     0.306020
        39     0.296072
# Cycle: 27, status: BWI, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.503322
         1     0.499956
         2     0.497578
         3     0.492823
         4     0.489959
         5     0.485825
         6     0.480950
         7     0.476645
         8     0.471790
         9     0.466301
        10     0.461864
        11     0.456750
        12     0.452852
        13     0.448591
        14     0.445488
        15     0.442135
        16     0.439403
        17     0.435925
        18     0.432769
        19     0.429416
        20     0.424364
        21     0.420619
        22     0.415046
        23     0.409290
        24     0.403455
        25     0.396911
        26     0.390157
        27     0.383141
        28     0.376765
        29     0.369863
        30     0.363800
        31     0.357583
        32     0.351913
        33     0.345397
        34     0.339072
        35     0.331727
        36     0.324129
        37     0.315011
        38     0.306020
        39     0.296072
# Cycle: 28, status: BWI, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.503322
         1     0.499956
         2     0.497578
         3     0.492823
         4     0.489959
         5     0.485825
         6     0.480950
         7     0.476645
         8     0.471790
         9     0.466301
        10     0.461864
        11     0.456750
        12     0.452852
        13     0.448591
        14     0.445488
        15     0.442135
        16     0.439403
        17     0.435925
        18     0.432769
        19     0.429416
        20     0.424364
        21     0.420619
        22     0.415046
        23     0.409290
        24     0.403455
        25     0.396911
        26     0.390157
        27     0.383141
        28     0.376765
        29     0.369863
        30     0.363800
